symbol,datetime_utc,volatility,open,high,low,close,volume,slot_start,slot_end
BTCUSDT,2025-10-04 08:13 UTC,8.16061260312061e-08,122539.82,122539.83,122539.82,122539.83,1.83069,371095646,371095796
BTCUSDT,2025-10-04 06:35 UTC,8.160827058457005e-08,122536.6,122536.6,122536.59,122536.59,1.15727,371080707,371080857
BTCUSDT,2025-10-04 04:56 UTC,8.162531673489028e-08,122511.01,122511.01,122511.0,122511.0,0.63356,371065697,371065847
BTCUSDT,2025-10-04 04:57 UTC,8.162531673489028e-08,122511.01,122511.01,122511.0,122511.0,1.35335,371065848,371065998
BTCUSDT,2025-10-04 06:29 UTC,8.162768884107232e-08,122507.45,122507.46,122507.45,122507.45,2.61649,371079802,371079952
BTCUSDT,2025-10-04 04:51 UTC,8.162917461608012e-08,122505.22,122505.22,122505.21,122505.22,2.8704,371064942,371065092
BTCUSDT,2025-10-04 04:52 UTC,8.162917461608012e-08,122505.22,122505.22,122505.21,122505.22,3.47136,371065088,371065238
BTCUSDT,2025-10-04 06:47 UTC,8.162917461608012e-08,122505.22,122505.22,122505.21,122505.22,0.53092,371082547,371082697
BTCUSDT,2025-10-04 04:41 UTC,8.163265968235025e-08,122499.99,122500.0,122499.99,122499.99,3.03802,371063416,371063566
BTCUSDT,2025-10-04 06:50 UTC,8.163854444119254e-08,122491.16,122491.16,122491.15,122491.15,0.84536,371083009,371083159
BTCUSDT,2025-10-04 06:51 UTC,8.163854444119254e-08,122491.16,122491.16,122491.15,122491.16,1.86456,371083158,371083308
BTCUSDT,2025-10-04 06:58 UTC,8.166107107119246e-08,122457.37,122457.37,122457.36,122457.37,0.68801,371084227,371084377
BTCUSDT,2025-10-04 14:18 UTC,8.166728661470158e-08,122448.05,122448.06,122448.05,122448.05,1.65957,371150971,371151121
BTCUSDT,2025-10-04 05:05 UTC,8.16708349671827e-08,122442.73,122442.73,122442.72,122442.73,0.94975,371067067,371067217
BTCUSDT,2025-10-04 05:06 UTC,8.167084163730854e-08,122442.72,122442.73,122442.72,122442.73,0.55537,371067213,371067363
BTCUSDT,2025-10-04 08:05 UTC,8.167155534706785e-08,122441.65,122441.65,122441.64,122441.65,1.50243,371094420,371094570
BTCUSDT,2025-10-04 06:55 UTC,8.167423020209562e-08,122437.64,122437.64,122437.63,122437.64,1.65729,371083772,371083922
BTCUSDT,2025-10-04 13:41 UTC,8.167551099271774e-08,122435.72,122435.73,122435.72,122435.72,1.14854,371145373,371145523
BTCUSDT,2025-10-04 07:05 UTC,8.168527178865362e-08,122421.09,122421.1,122421.09,122421.1,1.18001,371085297,371085447
BTCUSDT,2025-10-04 09:18 UTC,8.168734019208542e-08,122417.99,122418.0,122417.99,122418.0,1.74923,371105502,371105652
BTCUSDT,2025-10-04 09:14 UTC,8.168990263593965e-08,122414.15,122414.15,122414.14,122414.15,2.50944,371104890,371105040
BTCUSDT,2025-10-04 07:02 UTC,8.169301248425519e-08,122409.49,122409.5,122409.49,122409.5,1.5838,371084835,371084985
BTCUSDT,2025-10-04 07:03 UTC,8.169301248425519e-08,122409.49,122409.5,122409.49,122409.5,0.9791,371084990,371085140
BTCUSDT,2025-10-04 23:48 UTC,8.169456082320432e-08,122407.17,122407.17,122407.16,122407.16,0.91303,371237418,371237568
BTCUSDT,2025-10-04 07:16 UTC,8.169527506646503e-08,122406.1,122406.1,122406.09,122406.1,1.86286,371086970,371087120
BTCUSDT,2025-10-04 13:45 UTC,8.169588241571477e-08,122405.19,122405.19,122405.18,122405.18,0.4917,371145978,371146128
BTCUSDT,2025-10-04 13:46 UTC,8.169588241571477e-08,122405.19,122405.19,122405.18,122405.19,0.54288,371146121,371146271
BTCUSDT,2025-10-04 09:26 UTC,8.170366517544931e-08,122393.53,122393.53,122393.52,122393.53,1.12795,371106706,371106856
BTCUSDT,2025-10-04 09:24 UTC,8.170367196983326e-08,122393.52,122393.52,122393.51,122393.52,1.3078,371106404,371106554
BTCUSDT,2025-10-04 04:36 UTC,8.170676271973143e-08,122388.89,122388.9,122388.89,122388.89,2.98672,371062655,371062805
BTCUSDT,2025-10-04 09:22 UTC,8.170785759759542e-08,122387.25,122387.25,122387.24,122387.24,0.75924,371106103,371106253
BTCUSDT,2025-10-04 13:59 UTC,8.17090793557052e-08,122385.42,122385.42,122385.41,122385.42,0.55998,371148096,371148246
BTCUSDT,2025-10-04 23:56 UTC,8.171270490635949e-08,122379.99,122379.99,122379.98,122379.99,0.79474,371238632,371238782
BTCUSDT,2025-10-04 23:57 UTC,8.171270490635949e-08,122379.99,122379.99,122379.98,122379.99,0.52947,371238783,371238933
BTCUSDT,2025-10-04 23:58 UTC,8.171270490635949e-08,122379.99,122379.99,122379.98,122379.99,0.81438,371238937,371239087
BTCUSDT,2025-10-04 13:54 UTC,8.171309217223081e-08,122379.41,122379.41,122379.4,122379.41,1.0105,371147335,371147485
BTCUSDT,2025-10-04 04:25 UTC,8.171463447623216e-08,122377.1,122377.11,122377.1,122377.11,1.99223,371060978,371061128
BTCUSDT,2025-10-04 13:33 UTC,8.172606090243477e-08,122359.99,122360.0,122359.99,122360.0,0.82704,371144145,371144295
