slot,signature,profit_sol,fee_lamports,protocols,is_mev_tip,signer
324115988,2jdBPabQdFpDGn4TKjbQp9YJYEFu4i3gsk8vgzaFLPXWWf8ThJuEgHsfGZt5z6983WKBXigrf3v1mnqM7HPxvZ1F,0.371733,5000,Unknown,No,4Rxwquq43HnvB2FLJS8WvDKytuxG3QutkWwMYZA2Nob2
324115988,4T8Jmu3frhj4f8iqLGx8vu1kt2VBU6NdXzftVg3MDENW2KtkfPTLs8j6JUUEUaxNKewvnL6SnPXDvmWZTwfZEoQE,0.012466,5000,Unknown,No,8jYhxAEeDL9UWVtE3nCCKj1sDSdabjbTjucQNvGEgfLc
324115988,34gzGGv4D5fkDuAZGGH9bXnr5NsgKWFpGkFJg561up15FjjzZanpVMMaj6Y6Sh2B4UXh5FE9RGsDHwj2bGtBifvA,0.214292,5000,Unknown,No,7Dpe4GsrfgM9sPx6ZjYsfhy3oRDzXDXbYWGGXAvgpcEY
324115988,u7rhwDXCRFec11KYuY1xZThBnyBzEQpp8Xq1EdmzA6YqSo8kRsTdeQCXCEFa5GASXW4Yw4eo5rBRYBZViP75R8J,0.148896,5000,Unknown,No,6pj9NyzQcoc8pPASnqRDUwdPu58iuhcLohmzrPD5DwV6
324115988,3t87dgeMNuFBX4s4J7cSV4VcANo3VtHfem6UWS8LdidPiUTy3mQUGS4T2ihLvdt5mKHC8wi7yFLvcmZgNf3yeBzf,0.234775,5000,Unknown,No,CTfVheAFV7HBkmby2D1sE1a4ggFSyp3Va93arnbf1yt9
324115988,vahamUztVWtEf4dP5KDajVgVVB8B3qsQo1EH1Lyx1eeepKaqPEvgds4d5kHwBCAiFRLvecQpCoemWMp1zHLi1vj,0.367316,5000,Unknown,No,4SnnhePhbrTRULE6KGPqYMVM9nidX5i4EiSW4ma7GUb2
324115988,56GmsVLHLV6hvXUak7WCYPNrjpDqqkqfRWiiPbpQo1hvmpgSxivY4q8EixrD5qzj4NKDpZx3tFqvZQ71FYX1A1va,0.358967,5000,Unknown,No,H1hSFRc2i1hUgXDf4A7qTWftyR1qqimJADdEkNDpULUw
324115988,5HDjv9XQbxNwwgstEsHkWo3C3BHXMuXLFpkymYRWZCR1VgU1moos2zK4nkWAmJRtZ7ofkXDH9K6k7WDGyKzKGatz,0.174575,5000,Unknown,No,3N1nrNAKpkmvm42ji5wmVz4fRRZXdHDWPDUSkWg2ByQg
324115988,5GHnAvdg2rFqJkEaarUpTanryNhZjaZumtVZZ2iaggKkbiuas34NdKtbvHjUSQKNcpWBMRoXoNGkXt59ayLNjsfb,0.154273,5000,Unknown,No,4GiQXw3FnGy8XjVXz3nuqNtpHWRKzAhrLCHgmcVdaizT
324115988,3GSTGdzt18WFZ4R8KhqjvG4YuDX1jhDygqv5mqxRHfxMpMsrH7PTeSFdCN52QdrtF5aDps27tM5QqiDnG4UHUmx5,0.230262,5000,Unknown,No,A3e4qnssSD9117bWDJEDGKpjpRF5cwBgSfu5tHcnVFEp
324115988,2pgWAzprwVLQMXnpFdV5GPGk57L6ZkgjBQzDuBU1H6xffxq2rznY9XbZn6bgXz1o1aKVgSvmEJqAbk3E2ccidWtU,0.047872,5000,Unknown,No,7Dij9A568nze6wNnbwAFaoFNVqoAWX6YivY6MsM4jjct
324115988,2tB8U3GysDY6vu6Y5ZvfrEQcSUee8FSosfkLkKfe1HH93PD6YLmm1NqXQPUuLaUCRi42L5Mcpy2ZHUxc5YuymSDd,0.002522,5000,Unknown,No,4mekTmaashbiTbi2BYmCmAhruza1EAL7E52cn2zW1g5H
