actor,trades,net_pnl_sum,net_pnl_abs_sum,size_sum,trade_share,cum_trade_share
H2U1EGEh4QaevWJJ5Rzeb6ELixHULodUd6EAjBPQ2CuF|0xd7478265088717c38d7157533a69eb1733a695c4,11,0.0,0.0,5061.364034,0.0003579680432165056,0.9800839597774086
5RK7d5RHzPH4ngBqNdLCyY65kFT8NeE3mviBqJJAsUNK|0x5dd5a6f0a881684f0ccf0c1e28ba1fb692b06a7c,11,-2004.3250440000004,2542.4259979999997,20744.554027,0.0003579680432165056,0.9804419278206251
3z3f2E27FFKdsTKvAU23sYNXV47SB8YfMnPPKrqjPQvR|0x3e10fe4101e211702e3c0d79a00ae6f3f79bcad3,11,3.2933220000000016,53.035336,1363.8056510000001,0.0003579680432165056,0.9807998958638416
CtmdLfWm8ycHKFxBUyMoVgfcahQQRm6GhsqUWwo8SdES|0xb1b63066f484b217c0b03b07ecfd550ed33dcb1b,11,0.0,0.0,5500.0,0.0003579680432165056,0.9811578639070582
Cg4GtthXioVwA4yrXTHw92JWS7pQxUu6NVuq8QbKEbo1|0xbbeb9860ba663df45b645d0271b8771288b03748,10,0.0,0.0,17617.037358,0.0003254254938331869,0.9814832894008914
D9SsqbE1KYh5U4uoMuxmQTfFHW7vpJmTWcdHf9Jzb643|0xca2c728727ecd1b7676003f82545aebd731d13fd,10,-1162.324959,1310.512301,5009.749752,0.0003254254938331869,0.9818087148947245
Fh29Mim9rmKYN7CYRqkijJmojwPzXLuzRHKFrzLQgAiV|0x08996c866ce22c8f810f575a339151e319603bf7,10,141.747356,144.075988,5020.454278,0.0003254254938331869,0.9821341403885577
7NkPnGCK9uNZ8PV5JDs5Hh4NRridreC2cqicznHwpcv6|0xcc7150deedc2cea70d44033c5c31ea3466a9dd0d,10,23.006811000000003,38.978393,2200.0,0.0003254254938331869,0.9824595658823909
2uK1WHsddYgikj5aHBuiy9STJRXnEPqvzk8R1etwuM5G|0xe5722c6d24983c00c47ac82ef7881c9b8007186e,10,-856.0699059999998,1231.717962,14566.802085000001,0.0003254254938331869,0.9827849913762241
CiRZudYZeDwQbz92d95CPaRrQgiifM6ucuyi6ge8QRf1|0x850fa63e54d482b5299e5156dc84d64abf24e515,10,0.0,0.0,6718.199999999999,0.0003254254938331869,0.9831104168700573
