category,symbol,datetime_utc,volatility,open,high,low,close,volume,slot_start,slot_end
high,SOLUSDT,2024-03-05 19:57 UTC,0.10073394495412848,109.0,115.98,105.0,115.52,114081.92,252308623,252308773
high,SOLUSDT,2024-03-05 19:56 UTC,0.08528784648187633,117.25,119.0,109.0,109.34,110021.08,252308472,252308622
high,SOLUSDT,2024-04-12 18:35 UTC,0.07401501561358041,150.51,152.14,141.0,142.03,96189.91,259759592,259759742
high,BTCUSDT,2025-10-10 21:24 UTC,0.06435736848177127,107571.21,108923.0,102000.0,108219.08,447.35706,372524562,372524712
high,SOLUSDT,2024-04-13 20:11 UTC,0.06389644653310247,121.29,127.65,119.9,125.49,85353.87,259953863,259954013
high,SOLUSDT,2024-04-12 18:36 UTC,0.06018844044438196,142.22,150.57,142.01,149.13,60361.69,259759714,259759864
high,BTCUSDT,2024-12-05 22:28 UTC,0.05925637690698017,96192.01,96199.99,90500.0,92656.41,2772.45567,305644352,305644502
high,SOLUSDT,2025-10-10 21:31 UTC,0.058283073107491146,177.41,185.61,175.27,182.74,31931.976,372525617,372525767
high,SOLUSDT,2024-04-13 20:09 UTC,0.05779869540087524,121.11,123.0,116.0,120.55,97021.48,259953600,259953750
high,SOLUSDT,2025-10-10 21:14 UTC,0.05234618275528831,186.26,189.75,180.0,187.39,99851.671,372523042,372523192
high,BTCUSDT,2025-10-10 21:19 UTC,0.052078899487236055,108822.0,109467.33,103800.0,103975.26,902.67966,372523798,372523948
high,BTCUSDT,2025-10-10 21:18 UTC,0.051167322382508325,107973.6,112261.07,106736.35,108635.51,1103.41968,372523646,372523796
high,SOLUSDT,2025-10-10 21:44 UTC,0.05090985589565587,190.14,199.15,189.47,196.82,65971.588,372527575,372527725
high,SOLUSDT,2026-01-31 18:43 UTC,0.04875172007076871,101.74,101.76,96.8,97.2,322208.161,397186437,397186587
high,SOLUSDT,2024-03-05 19:58 UTC,0.04864958448753467,115.52,118.0,112.38,116.36,71357.67,252308768,252308918
high,SOLUSDT,2024-04-13 20:06 UTC,0.04692126641864708,131.71,132.18,126.0,126.7,57423.97,259953222,259953372
high,SOLUSDT,2024-03-05 19:54 UTC,0.04537220026350454,121.44,122.63,117.12,117.35,92041.16,252308176,252308326
high,SOLUSDT,2025-10-10 21:15 UTC,0.04521191416675562,187.34,188.51,180.04,181.94,64360.053,372523197,372523347
high,SOLUSDT,2024-04-12 18:32 UTC,0.04508948333649526,158.13,158.13,151.0,151.02,127391.26,259759203,259759353
